id,en_sentence,influence,influence_lang,influenced_sentence
1,"“18 months ago, we expelled a boy at Nations for selling drugs in six schools.",1,fr,"Il y a 18 mois, nous avons expulsé un garçon de Nations pour avoir vendu de la drogue dans six écoles."
2,” 41 Nigeria Centre for Disease Control (NCDC) staff and 17 World Health Organisation (WHO) staff are deployed at the moment to support the Kano response.,1,fr,41 membres du personnel du Centre nigérian de lutte contre les maladies (NCDC) et 17 membres du personnel de l'Organisation mondiale de la santé (OMS) sont actuellement déployés pour appuyer la réponse de Kano.
3,⏰8.00pm ⚽️Liverpool v Arsenal Watch the match live at The Arch on six screens with surround sound commentary!,0,es,¡Mira el partido en vivo en The Arch en seis pantallas con comentarios de sonido envolvente!
4,"A 13-year veteran of the department, he worked his way up the ranks of the department starting as an ambulance paramedic at Station 49, then going to the SFFD Academy and graduating as a paramedic and firefighter.",0,es,"Un veterano de 13 años del departamento, trabajó su camino hacia arriba en las filas del departamento comenzando como paramédico de ambulancia en la Estación 49, luego yendo a la Academia SFFD y graduándose como paramédico y bombero."
5,A 1975 class ring from Robert E. Lee High School in Houston was found near the bones.,1,fr,Un anneau de classe 1975 de l'école secondaire Robert E. Lee à Houston a été trouvé près des os.
6,"A 2014 resurgence in Polio when there were 359 reported cases of wild poliomyelitis, spread over 12 countries including Pakistan.",1,fr,"Une réapparition en 2014 de la poliomyélite, où 359 cas de poliomyélite sauvage ont été signalés, répartis dans 12 pays, dont le Pakistan."
7,"“A 30% correction sounds scary right, but the Dow, S&P 500 and the Nasdaq rallied to nearly 30% in just one year last year.",1,fr,"Une correction de 30 % semble effrayante, mais le Dow, le S&P 500 et le Nasdaq se sont ralliés à près de 30 % en seulement un an l'an dernier."
8,A 33-year-old Bothwell man was arrested and charged with public mischief.,0,es,"Un hombre de 33 años de edad, Bothwell, fue arrestado y acusado de travesura pública."
9,"A 58-year-old barrister who served in the Home Office and the attorney general’s office, Mr. Jones rose to become the government’s senior lawyer, rendering judgment on the legality of new legislation.",0,es,"Un abogado de 58 años que sirvió en el Ministerio del Interior y la oficina del fiscal general, el Sr. Jones se convirtió en el abogado principal del gobierno, dictando sentencia sobre la legalidad de la nueva legislación."
10,A 911 call was made by a Wendy’s employee after Brooks fell asleep behind the wheel while in the drive-thru line.,0,es,Una llamada al 911 fue hecha por un empleado de Wendy después de que Brooks se durmiera al volante mientras estaba en la línea de transmisión.
11,Aaron and Marie are sharing a bed.,1,fr,Aaron et Marie partagent un lit.
12,"Aaron, as a Black man and candidate in a local election in Humboldt County, has had to discover ways to manage his own stress and anxiety.",0,es,"Aaron, como hombre negro y candidato en una elección local en el condado de Humboldt, ha tenido que descubrir maneras de manejar su propio estrés y ansiedad."
13,Aaron has been a valuable member of Alexandria since before he recruited members of Rick's group to the Safe Zone.,0,es,Aaron ha sido un miembro valioso de Alejandría desde antes de reclutar a miembros del grupo de Rick a la zona segura.
14,Aave (AAVE) traded 5.4% lower against the dollar and now trades at $34.47 or 0.00250836 BTC.,1,fr,"Aave (AAVE) a échangé 5,4 % de moins que le dollar et se négocie maintenant à 34,47 $ ou 0,00250836 BTC."
15,Abandoning a healthy and highly productive scientific collaboration at such a juncture was not a very sound move.,0,es,Abandonar una colaboración científica saludable y altamente productiva en una coyuntura así no es un movimiento muy sólido.
16,Abang Johari said it was imperative for the state to restore the status of Sabah and Sarawak as regional partners after the departure of Singapore in 1965 from the Federation of Malaysia.,0,es,Abang Johari dijo que era imperativo que el estado restaurara el estatus de Sabah y Sarawak como socios regionales después de la salida de Singapur en 1965 de la Federación de Malasia.
17,"ABC's ""Modern Family"" ends its 11-season run with a two-hour finale on Wednesday.",0,es,"La ""Familia Moderna"" de ABC termina su carrera de 11 temporadas con un final de dos horas el miércoles."
18,A Beer Store spokesperson couldn’t be reached for comment at press time.,0,es,No se pudo contactar a un portavoz de Beer Store para que comentara en el momento de la prensa.
19,Abela had attempted to justify the move as necessary at the time as a way of controlling coronavirus infections in the country.,0,es,Abela había intentado justificar el traslado como necesario en ese momento como una forma de controlar las infecciones por coronavirus en el país.
20,Abelson wasn't able to help everyone.,0,es,Abelson no fue capaz de ayudar a todos.
21,Aberdeenshire Council said they first considered the removal of the town centre restrictions in September but did not go ahead with this after coronavirus infections began to rise.,0,es,"El Consejo de Aberdeenshire dijo que primero consideraron la eliminación de las restricciones del centro de la ciudad en septiembre, pero no siguieron adelante con esto después de que las infecciones por coronavirus comenzaron a aumentar."
22,"A Black man was shot and killed by County sheriff’s deputies after he was stopped for a traffic violation while riding a bike, then ran from police, punched one officer and then “made a motion” toward a gun on the ground, authorities said.",1,fr,"Un homme noir a été abattu par des adjoints du shérif du comté après avoir été arrêté pour une violation de la circulation alors qu'il conduisait à vélo, puis a couru de la police, a frappé un officier et a ensuite fait une motion de direction vers une arme au sol, a déclaré les autorités."
