corpus,learning_rate,epoch,loss,validation loss
manual,5.00E-05,1,3.2244,
manual,5.00E-05,2,2.7247,
manual,5.00E-05,3,2.5319,
manual,5.00E-05,4,2.418,
manual,5.00E-05,5,2.3286,
manual,5.00E-05,6,2.2402,
manual,5.00E-05,7,2.1812,
manual,5.00E-05,8,2.1162,
manual,5.00E-05,9,2.0928,
manual,5.00E-05,10,2.0321,
manual,5.00E-05,11,1.9964,
manual,5.00E-05,12,1.9378,
manual,5.00E-05,13,1.9043,
manual,5.00E-05,14,1.8692,
manual,5.00E-05,15,1.8251,
manual,5.00E-05,16,1.7934,
manual,5.00E-05,17,1.7482,
manual,5.00E-05,18,1.6988,
manual,5.00E-05,19,1.6911,
manual,5.00E-05,20,1.6456,27.9553
manual,5.00E-07,1,3.9817,
manual,5.00E-07,2,4.0098,
manual,5.00E-07,3,3.9433,
manual,5.00E-07,4,3.8743,
manual,5.00E-07,5,3.8675,
manual,5.00E-07,6,3.8344,
manual,5.00E-07,7,3.8099,
manual,5.00E-07,8,3.7692,
manual,5.00E-07,9,3.7094,
manual,5.00E-07,10,3.7119,
manual,5.00E-07,11,3.7029,
manual,5.00E-07,12,3.6512,
manual,5.00E-07,13,3.6875,
manual,5.00E-07,14,3.618,
manual,5.00E-07,15,3.5945,
manual,5.00E-07,16,3.5897,
manual,5.00E-07,17,3.5837,
manual,5.00E-07,18,3.569,
manual,5.00E-07,19,3.5168,
manual,5.00E-07,20,3.4888,13.3349
manual,5.00E-03,1,2.9203,
manual,5.00E-03,2,1.9281,
manual,5.00E-03,3,1.463,
manual,5.00E-03,4,1.0925,
manual,5.00E-03,5,0.893,
manual,5.00E-03,6,0.679,
manual,5.00E-03,7,0.5613,
manual,5.00E-03,8,0.5164,
manual,5.00E-03,9,0.4348,
manual,5.00E-03,10,0.3622,
manual,5.00E-03,11,0.3085,
manual,5.00E-03,12,0.3015,
manual,5.00E-03,13,0.2832,
manual,5.00E-03,14,0.2634,
manual,5.00E-03,15,0.1972,
manual,5.00E-03,16,0.1825,
manual,5.00E-03,17,0.2007,
manual,5.00E-03,18,0.1877,
manual,5.00E-03,19,0.2166,
manual,5.00E-03,20,0.2488,40.5876
manual,5.00E-03,21,0.2303,
manual,5.00E-03,22,0.1732,
manual,5.00E-03,23,0.1909,
manual,5.00E-03,24,0.1549,
manual,5.00E-03,25,0.1801,
manual,5.00E-03,26,0.1298,
manual,5.00E-03,27,0.1385,
manual,5.00E-03,28,0.1568,
manual,5.00E-03,29,0.1223,
manual,5.00E-03,30,0.1264,34.0326
