corpus,learning_rate,epoch,loss,validation loss
mrpc,5.00E-05,1,2.7985,NaN
mrpc,5.00E-05,2,2.5343,
mrpc,5.00E-05,3,2.4228,
mrpc,5.00E-05,4,2.3424,
mrpc,5.00E-05,5,2.2883,
mrpc,5.00E-05,6,2.2292,
mrpc,5.00E-05,7,2.1819,
mrpc,5.00E-05,8,2.1388,
mrpc,5.00E-05,9,2.095,
mrpc,5.00E-05,10,2.0528,
mrpc,1.00E-04,1,2.6913,NaN
mrpc,1.00E-04,2,2.401,
mrpc,1.00E-04,3,2.2681,
mrpc,1.00E-04,4,2.1779,
mrpc,1.00E-04,5,2.0969,
mrpc,1.00E-04,6,2.0168,
mrpc,1.00E-04,7,1.9537,
mrpc,1.00E-04,8,1.8908,
mrpc,1.00E-04,9,1.8368,
mrpc,1.00E-04,10,1.7839,
mrpc,5.00E-04,1,2.5069,29.0349
mrpc,5.00E-04,2,2.1089,
mrpc,5.00E-04,3,1.8864,
mrpc,5.00E-04,4,1.6941,
mrpc,5.00E-04,5,1.5411,
mrpc,5.00E-04,6,1.4021,
mrpc,5.00E-04,7,1.2745,
mrpc,5.00E-04,8,1.158,
mrpc,5.00E-04,9,1.0545,
mrpc,5.00E-04,10,0.963,
mrpc,5.00E-04,11,0.8735,
mrpc,5.00E-04,12,0.788,
mrpc,5.00E-04,13,0.7266,
mrpc,5.00E-04,14,0.6556,
mrpc,5.00E-04,15,0.6007,
mrpc,5.00E-03,1,2.9042,26.1968
mrpc,5.00E-03,2,2.3127,
mrpc,5.00E-03,3,1.9862,
mrpc,5.00E-03,4,1.748,
mrpc,5.00E-03,5,1.5397,
mrpc,5.00E-03,6,1.3753,
mrpc,5.00E-03,7,1.2006,
mrpc,5.00E-03,8,1.0773,
mrpc,5.00E-03,9,0.965,
mrpc,5.00E-03,10,0.8548,
mrpc,5.00E-03,11,0.7618,
mrpc,5.00E-03,12,0.7137,
mrpc,5.00E-03,13,0.642,
mrpc,5.00E-03,14,0.5966,
mrpc,5.00E-03,15,0.561,
mrpc,5.00E-03,16,0.5079,
mrpc,5.00E-03,17,0.4893,
mrpc,5.00E-03,18,0.4777,
mrpc,5.00E-03,19,0.4327,
mrpc,5.00E-03,20,0.4115,
mrpc,5.00E-03,21,0.4086,
mrpc,5.00E-03,22,0.3951,
mrpc,5.00E-03,23,0.3698,
mrpc,5.00E-03,24,0.3571,
mrpc,5.00E-03,25,0.3531,
mrpc,5.00E-03,26,0.3448,
mrpc,5.00E-03,27,0.3367,
mrpc,5.00E-03,28,0.3347,
mrpc,5.00E-03,29,0.3347,
mrpc,5.00E-03,30,0.332,
